local; popul
Abaiara; 10496
Acarape; 15338
Acaraú; 57551
Acopiara; 51160
Aiuaba; 16203
Alcântaras; 10771
Altaneira; 6856
Alto Santo; 16359
Amontada; 39232
Antonina do Norte; 6984
Apuiarés; 13925
Aquiraz; 72628
Aracati; 69159
Aracoiaba; 25391
Ararendá; 10491
Araripe; 20685
Aratuba; 11529
Arneiroz; 7650
Assaré; 22445
Aurora; 24566
Baixio; 6026
Banabuiú; 17315
Barbalha; 55323
Barreira; 19573
Barro; 21514
Barroquinha; 14476
Baturité; 33321
Beberibe; 49311
Bela Cruz; 30878
Boa Viagem; 52498
Brejo Santo; 45193
Camocim; 60158
Campos Sales; 26506
Canindé; 74473
Capistrano; 17062
Caridade; 20020
Cariré; 18347
Caririaçu; 26393
Cariús; 18567
Carnaubal; 16746
Cascavel; 66142
Catarina; 18745
Catunda; 9952
Caucaia; 325441
Cedro; 24527
Chaval; 12615
Choró; 12853
Chorozinho; 18915
Coreaú; 21954
Crateús; 72812
Crato; 121428
Croatá; 17069
Cruz; 22479
Deputado Irapuan Pinheiro; 9095
Ererê; 6840
Eusébio; 46033
Farias Brito; 19007
Forquilha; 21786
Fortaleza; 2452185
Fortim; 14817
Frecheirinha; 12991
General Sampaio; 6218
Graça; 15049
Granja; 52645
Granjeiro; 4629
Groaíras; 10228
Guaiúba; 24091
Guaraciaba do Norte; 37775
Guaramiranga; 4164
Hidrolândia; 19325
Horizonte; 55187
Ibaretama; 12922
Ibiapina; 23808
Ibicuitinga; 11335
Icapuí; 18392
Icó; 65456
Iguatu; 96495
Independência; 25573
Ipaporanga; 11343
Ipaumirim; 12009
Ipu; 40296
Ipueiras; 37862
Iracema; 13722
Irauçuba; 22324
Itaiçaba; 7316
Itaitinga; 35817
Itapajé; 48350
Itapipoca; 116065
Itapiúna; 18626
Itarema; 37471
Itatira; 18894
Jaguaretama; 17863
Jaguaribara; 10399
Jaguaribe; 34409
Jaguaruana; 32236
Jardim; 26688
Jati; 7660
Jijoca de Jericoacoara; 17002
Juazeiro do Norte; 249939
Jucás; 23807
Lavras da Mangabeira; 31090
Limoeiro do Norte; 56264
Madalena; 18088
Maracanaú; 209057
Maranguape; 113561
Marco; 24703
Martinópole; 10214
Massapê; 35191
Mauriti; 44240
Meruoca; 13693
Milagres; 28316
Milhã; 13086
Miraíma; 12800
Missão Velha; 34274
Mombaça; 42690
Monsenhor Tabosa; 16705
Morada Nova; 62065
Moraújo; 8070
Morrinhos; 20700
Mucambo; 14102
Mulungu; 11485
Nova Olinda; 14256
Nova Russas; 30965
Novo Oriente; 27453
Ocara; 24007
Orós; 21389
Pacajus; 61838
Pacatuba; 72299
Pacoti; 11607
Pacujá; 5986
Palhano; 8866
Palmácia; 12005
Paracuru; 31636
Paraipaba; 30041
Parambu; 31309
Paramoti; 11308
Pedra Branca; 41890
Penaforte; 8226
Pentecoste; 35400
Pereiro; 15757
Pindoretama; 18683
Piquet Carneiro; 15467
Pires Ferreira; 10216
Poranga; 12001
Porteiras; 15061
Potengi; 10276
Potiretama; 6126
Quiterianópolis; 19921
Quixadá; 80604
Quixelô; 15000
Quixeramobim; 71887
Quixeré; 19412
Redenção; 26415
Reriutaba; 19455
Russas; 69833
Saboeiro; 15752
Salitre; 15453
Santana do Acaraú; 29946
Santana do Cariri; 17170
Santa Quitéria; 42763
São Benedito; 44178
São Gonçalo do Amarante; 43890
São João do Jaguaribe; 7900
São Luís do Curu; 12332
Senador Pompeu; 26469
Senador Sá; 6852
Sobral; 188233
Solonópole; 17665
Tabuleiro do Norte; 29204
Tamboril; 25451
Tarrafas; 8910
Tauá; 55716
Tejuçuoca; 16827
Tianguá; 68892
Trairi; 51422
Tururu; 14408
Ubajara; 31787
Umari; 7545
Umirim; 18802
Uruburetama; 19765
Uruoca; 12883
Varjota; 17593
Várzea Alegre; 38434
Viçosa do Ceará; 54955
